Time,Satellite,Target,Bin
2495.0,2,2,217
2495.157950464,2,15,54
2501.0,2,8,135
2501.0,2,4,244
2505.0,2,9,2
2515.0,1,2,280
2515.0,1,14,289
2516.0,1,5,288
2521.0,10,10,145
2522.0,2,5,243
2526.0,1,8,185
2533.0,10,7,18
2533.227911474,6,3,216
2537.0,2,14,199
2539.0,10,3,55
2544.0,1,4,297
2545.0,6,7,252
2547.592151354,6,7,252
2551.0,1,15,9
2555.0,2,2,199
2561.0,2,4,226
2561.0,2,8,135
2565.0,2,9,20
2575.0,1,14,299
2575.0,1,2,290
2576.0,1,5,297
2581.0,10,10,126
2582.0,2,5,234
2586.0,1,8,131
2593.0,10,7,27
2597.0,2,14,181
2599.0,10,3,55
2604.0,1,4,298
2611.0,1,15,18
2611.827835081,1,15,18
2615.0,2,2,190
2616.453505934,10,7,27
2619.025404864,2,8,126
2621.0,2,4,209
2625.0,2,9,47
2635.0,1,2,291
2635.0,1,14,309
2636.0,1,5,298
2641.0,10,10,117
2642.0,2,5,216
2646.0,1,8,102
2657.0,2,14,172
2659.0,10,3,54
2664.0,1,4,308
2675.0,2,2,171
2681.0,2,4,190
2685.0,2,9,55
2695.0,1,2,321
2695.0,1,14,13
2696.0,1,5,299
2701.0,10,10,108
2702.0,2,5,207
2706.0,1,8,92
2717.0,2,14,162
2719.0,10,3,63
2724.0,1,4,2
2735.0,2,2,171
2741.0,2,4,172
2745.0,2,9,73
2755.0,1,14,49
2755.0,1,2,78
2756.0,1,5,300
2761.0,10,10,108
2761.881218168,10,3,63
2762.0,2,5,198
2766.0,1,8,91
2777.0,2,14,153
2784.0,1,4,30
2795.0,2,2,162
2797.772618475,10,10,99
2801.0,2,4,162
2805.0,2,9,72
2815.0,1,14,75
2815.0,1,2,102
2816.0,1,5,321
2822.0,2,5,189
2826.0,1,8,90
2828.68131612,2,2,162
2837.0,2,14,144
2839.749006765,6,11,153
2844.0,1,4,57
2860.31477889,2,14,144
2861.0,2,4,162
2865.0,2,9,81
2875.0,1,14,92
2875.0,1,2,110
2876.0,1,5,105
2882.0,2,5,180
2886.0,1,8,81
2899.0,6,11,162
2904.0,1,4,74
2909.833074662,2,5,180
2920.381022561,2,9,81
2921.0,2,4,153
2935.0,1,14,91
2935.0,1,2,109
2936.0,1,5,121
2937.516082538,1,8,81
2951.109216274,2,4,153
2959.0,6,11,171
2964.0,1,4,91
2995.0,1,2,108
2995.0,1,14,99
2996.0,1,5,128
3019.0,6,11,180
3024.0,1,4,91
3042.344482834,6,11,189
3055.0,1,14,99
3055.0,1,2,108
3056.0,1,5,127
3084.0,1,4,99
3107.131176227,1,14,99
3115.0,1,2,108
3115.811125865,1,2,108
3116.0,1,5,126
3144.0,1,4,99
3176.0,1,5,126
3183.751300843,1,4,108
3236.0,1,5,126
3236.510649841,1,5,126
3243.745490869,8,7,99
3303.0,8,7,99
3363.0,8,7,108
3423.0,8,7,118
3471.758259372,8,3,144
3483.0,8,7,127
3531.0,8,3,153
3543.0,8,7,146
3552.918620279,12,7,180
3591.0,8,3,162
3603.0,8,7,173
3612.0,12,7,189
3651.0,8,3,171
3663.0,8,7,191
3672.0,12,7,198
3711.0,8,3,180
3714.463284241,8,3,180
3723.0,8,7,208
3732.0,12,7,207
3781.470307856,12,3,189
3783.0,8,7,216
3792.0,12,7,217
3841.0,12,3,189
3841.531426675,3,5,153
3843.0,8,7,216
3852.0,12,7,226
3885.810463609,5,7,117
3900.944115535,3,4,117
3901.0,3,5,144
3901.0,12,3,198
3903.0,8,7,225
3906.766965088,8,7,225
3912.0,12,7,244
3945.0,5,7,117
3960.0,3,4,117
3961.0,3,5,135
3961.0,12,3,207
3972.0,12,7,253
3981.908484311,3,4,108
4005.0,5,7,126
4021.0,12,3,217
4021.0,3,5,126
4032.0,12,7,270
