,Lon,Lat,Index
485,125.454545,76.330645,0
492,136.363636,76.330645,1
483,103.636364,76.330645,2
484,114.545455,76.330645,3
476,92.727273,73.379032,4
480,103.636364,73.379032,5
481,114.545455,73.379032,6
482,125.454545,73.379032,7
474,70.909091,73.379032,8
489,136.363636,73.379032,9
490,147.272727,73.379032,10
491,158.181818,73.379032,11
475,81.818182,73.379032,12
471,70.909091,70.427419,13
470,38.181818,70.427419,14
469,27.272727,70.427419,15
472,81.818182,70.427419,16
473,92.727273,70.427419,17
493,169.090909,70.427419,18
477,103.636364,70.427419,19
478,114.545455,70.427419,20
479,125.454545,70.427419,21
486,136.363636,70.427419,22
487,147.272727,70.427419,23
488,158.181818,70.427419,24
423,60.0,67.475806,25
448,109.411765,67.475806,26
441,102.352941,67.475806,27
440,95.294118,67.475806,28
432,81.176471,67.475806,29
431,74.117647,67.475806,30
430,67.058824,67.475806,31
414,38.823529,67.475806,32
422,52.941176,67.475806,33
421,45.882353,67.475806,34
450,123.529412,67.475806,35
413,31.764706,67.475806,36
412,24.705882,67.475806,37
405,17.647059,67.475806,38
449,116.470588,67.475806,39
439,88.235294,67.475806,40
465,158.823529,67.475806,41
466,165.882353,67.475806,42
464,151.764706,67.475806,43
468,172.941176,67.475806,44
458,137.647059,67.475806,45
459,144.705882,67.475806,46
457,130.588235,67.475806,47
427,67.058824,64.524194,48
461,151.764706,64.524194,49
429,81.176471,64.524194,50
428,74.117647,64.524194,51
411,38.823529,64.524194,52
410,31.764706,64.524194,53
467,172.941176,64.524194,54
462,158.823529,64.524194,55
463,165.882353,64.524194,56
420,60.0,64.524194,57
419,52.941176,64.524194,58
409,24.705882,64.524194,59
418,45.882353,64.524194,60
455,137.647059,64.524194,61
436,88.235294,64.524194,62
437,95.294118,64.524194,63
438,102.352941,64.524194,64
404,17.647059,64.524194,65
403,10.588235,64.524194,66
454,130.588235,64.524194,67
445,109.411765,64.524194,68
446,116.470588,64.524194,69
447,123.529412,64.524194,70
456,144.705882,64.524194,71
408,38.823529,61.572581,72
401,10.588235,61.572581,73
402,17.647059,61.572581,74
407,31.764706,61.572581,75
415,45.882353,61.572581,76
406,24.705882,61.572581,77
453,144.705882,61.572581,78
416,52.941176,61.572581,79
434,95.294118,61.572581,80
417,60.0,61.572581,81
451,130.588235,61.572581,82
444,123.529412,61.572581,83
443,116.470588,61.572581,84
435,102.352941,61.572581,85
442,109.411765,61.572581,86
433,88.235294,61.572581,87
460,158.823529,61.572581,88
426,81.176471,61.572581,89
425,74.117647,61.572581,90
424,67.058824,61.572581,91
452,137.647059,61.572581,92
371,91.304348,58.620968,93
352,54.782609,58.620968,94
370,86.086957,58.620968,95
369,80.869565,58.620968,96
362,75.652174,58.620968,97
361,70.434783,58.620968,98
360,65.217391,58.620968,99
353,60.0,58.620968,100
333,18.26087,58.620968,101
351,49.565217,58.620968,102
344,44.347826,58.620968,103
343,39.130435,58.620968,104
342,33.913043,58.620968,105
335,28.695652,58.620968,106
334,23.478261,58.620968,107
326,13.043478,58.620968,108
380,106.956522,58.620968,109
379,101.73913,58.620968,110
378,96.521739,58.620968,111
389,122.608696,58.620968,112
397,133.043478,58.620968,113
387,112.173913,58.620968,114
398,138.26087,58.620968,115
400,159.130435,58.620968,116
396,127.826087,58.620968,117
388,117.391304,58.620968,118
394,133.043478,55.669355,119
348,49.565217,55.669355,120
349,54.782609,55.669355,121
350,60.0,55.669355,122
393,127.826087,55.669355,123
330,18.26087,55.669355,124
395,138.26087,55.669355,125
341,44.347826,55.669355,126
399,159.130435,55.669355,127
332,28.695652,55.669355,128
331,23.478261,55.669355,129
357,65.217391,55.669355,130
358,70.434783,55.669355,131
359,75.652174,55.669355,132
340,39.130435,55.669355,133
339,33.913043,55.669355,134
384,112.173913,55.669355,135
366,80.869565,55.669355,136
367,86.086957,55.669355,137
368,91.304348,55.669355,138
386,122.608696,55.669355,139
385,117.391304,55.669355,140
325,13.043478,55.669355,141
375,96.521739,55.669355,142
376,101.73913,55.669355,143
377,106.956522,55.669355,144
338,44.347826,52.717742,145
381,112.173913,52.717742,146
323,7.826087,52.717742,147
324,13.043478,52.717742,148
337,39.130435,52.717742,149
336,33.913043,52.717742,150
329,28.695652,52.717742,151
327,18.26087,52.717742,152
328,23.478261,52.717742,153
382,117.391304,52.717742,154
