,Lon,Lat,Index
33,128.90322580645164,77.8064516129032,0
34,140.5161290322581,76.06451612903226,1
35,155.03225806451616,76.06451612903226,2
32,90.0,75.48387096774192,3
36,154.45161290322585,74.32258064516128,4
31,83.61290322580646,74.32258064516128,5
30,75.48387096774195,74.32258064516128,6
29,70.83870967741939,74.32258064516128,7
38,171.8709677419355,72.5806451612903,8
37,168.3870967741936,72.5806451612903,9
20,30.77419354838713,72.0,10
40,180.0,72.0,11
28,68.5161290322581,72.0,12
21,33.67741935483872,72.0,13
39,178.25806451612908,72.0,14
19,20.903225806451644,71.41935483870967,15
22,39.48387096774195,71.41935483870967,16
26,62.70967741935488,70.25806451612902,17
27,70.25806451612908,70.25806451612902,18
23,43.548387096774206,69.67741935483869,19
24,50.51612903225811,69.09677419354838,20
25,56.32258064516134,69.09677419354838,21
18,13.935483870967772,67.93548387096774,22
17,12.193548387096795,66.7741935483871,23
16,6.9677419354839,66.19354838709677,24
41,178.25806451612908,65.61290322580643,25
42,175.93548387096774,63.87096774193549,26
50,157.35483870967744,62.70967741935485,27
49,159.67741935483872,62.70967741935485,28
15,5.806451612903231,62.70967741935485,29
43,170.12903225806457,62.12903225806451,30
51,149.22580645161293,60.96774193548387,31
44,161.4193548387097,60.96774193548387,32
52,144.0,59.80645161290323,33
13,8.709677419354847,59.2258064516129,34
14,5.806451612903231,59.2258064516129,35
12,11.032258064516157,58.64516129032259,36
48,156.19354838709685,58.64516129032259,37
53,138.77419354838713,58.064516129032256,38
45,162.00000000000006,56.903225806451616,39
54,141.67741935483872,55.741935483870975,40
11,11.032258064516157,55.741935483870975,41
10,8.709677419354847,55.16129032258064,42
46,160.25806451612908,52.83870967741936,43
47,156.19354838709685,52.83870967741936,44
9,1.741935483870975,52.83870967741936,45
55,143.4193548387097,51.096774193548384,46
8,-1.7419354838709469,51.096774193548384,47
66,140.5161290322581,49.35483870967741,48
7,-2.322580645161281,48.7741935483871,49
67,137.03225806451616,47.03225806451613,50
6,-0.5806451612903061,46.451612903225794,51
65,139.93548387096774,46.451612903225794,52
5,-5.225806451612897,45.87096774193549,53
4,-8.129032258064512,45.87096774193549,54
56,144.0,44.70967741935485,55
68,132.9677419354839,44.70967741935485,56
3,-9.290322580645151,42.38709677419354,57
57,144.0,41.80645161290323,58
73,123.0967741935484,41.80645161290323,59
120,4.645161290322591,41.80645161290323,60
119,8.12903225806454,41.80645161290323,61
121,0.5806451612903345,40.64516129032259,62
64,138.19354838709685,40.064516129032256,63
72,125.4193548387097,40.064516129032256,64
69,131.80645161290323,39.48387096774195,65
117,16.838709677419388,39.48387096774195,66
2,-9.290322580645151,39.48387096774195,67
62,128.90322580645164,38.903225806451616,68
63,134.12903225806457,38.903225806451616,69
58,142.25806451612908,38.903225806451616,70
116,19.74193548387097,38.903225806451616,71
70,131.22580645161293,38.32258064516128,72
71,128.32258064516134,38.32258064516128,73
74,120.19354838709684,38.32258064516128,74
118,13.935483870967772,38.32258064516128,75
122,-2.9032258064515872,37.741935483870975,76
115,23.225806451612925,37.741935483870975,77
123,-8.709677419354819,37.16129032258064,78
1,-7.548387096774178,36.580645161290334,79
114,29.612903225806463,36.580645161290334,80
0,-5.225806451612897,36.0,81
59,135.8709677419355,35.419354838709694,82
61,127.74193548387098,34.83870967741936,83
75,120.77419354838712,34.83870967741936,84
113,32.51612903225811,34.83870967741936,85
60,131.22580645161293,34.258064516129025,86
76,121.35483870967744,31.935483870967744,87
112,31.935483870967744,30.19354838709677,88
102,51.09677419354841,29.032258064516128,89
77,117.87096774193547,29.032258064516128,90
101,52.83870967741939,27.29032258064518,91
78,113.80645161290325,26.129032258064512,92
111,34.258064516129025,26.129032258064512,93
103,54.0,24.967741935483872,94
79,111.48387096774196,24.38709677419357,95
100,58.64516129032262,23.80645161290323,96
80,109.16129032258068,22.64516129032259,97
110,37.741935483870975,22.064516129032256,98
99,65.03225806451616,22.064516129032256,99
104,58.064516129032256,20.903225806451616,100
93,88.25806451612908,20.32258064516131,101
92,92.90322580645164,19.16129032258064,102
81,106.8387096774194,18.58064516129033,103
98,71.4193548387097,18.58064516129033,104
109,40.064516129032256,18.0,105
105,54.0,16.83870967741936,106
91,95.80645161290325,16.258064516129053,107
82,108.0,15.67741935483872,108
108,42.3870967741936,15.67741935483872,109
106,50.51612903225811,15.67741935483872,110
90,95.80645161290325,15.096774193548384,111
83,107.4193548387097,14.516129032258078,112
85,101.61290322580646,13.935483870967744,113
84,102.19354838709684,13.935483870967744,114
107,45.87096774193549,13.935483870967744,115
97,72.58064516129036,13.354838709677438,116
94,81.87096774193549,11.612903225806464,117
96,74.32258064516134,9.870967741935488,118
95,80.12903225806451,9.870967741935488,119
89,98.70967741935488,9.29032258064518,120
86,101.61290322580646,8.12903225806454,121
87,103.35483870967744,7.548387096774206,122
88,102.19354838709684,6.967741935483872,123
