Lon,Lat
150.0,74.854839
130.0,74.854839
110.0,74.854839
90.0,74.854839
170.0,68.951613
130.0,68.951613
150.0,68.951613
110.0,68.951613
90.0,68.951613
70.0,68.951613
50.0,68.951613
30.0,68.951613
90.0,63.048387
70.0,63.048387
170.0,63.048387
130.0,63.048387
30.0,63.048387
10.0,63.048387
150.0,63.048387
50.0,63.048387
110.0,63.048387
103.636364,57.145161
136.363636,57.145161
81.818182,57.145161
92.727273,57.145161
16.363636,57.145161
27.272727,57.145161
38.181818,57.145161
114.545455,57.145161
125.454545,57.145161
158.181818,57.145161
70.909091,57.145161
60.0,57.145161
49.090909,57.145161
103.636364,51.241935
114.545455,51.241935
125.454545,51.241935
92.727273,51.241935
81.818182,51.241935
70.909091,51.241935
136.363636,51.241935
60.0,51.241935
49.090909,51.241935
38.181818,51.241935
5.454545,51.241935
16.363636,51.241935
27.272727,51.241935
114.545455,45.33871
38.181818,45.33871
125.454545,45.33871
81.818182,45.33871
103.636364,45.33871
92.727273,45.33871
70.909091,45.33871
60.0,45.33871
49.090909,45.33871
27.272727,45.33871
5.454545,45.33871
16.363636,45.33871
354.545455,45.33871
68.0,39.435484
28.0,39.435484
100.0,39.435484
84.0,39.435484
76.0,39.435484
140.0,39.435484
356.0,39.435484
20.0,39.435484
44.0,39.435484
108.0,39.435484
116.0,39.435484
92.0,39.435484
52.0,39.435484
36.0,39.435484
60.0,39.435484
108.0,33.532258
116.0,33.532258
92.0,33.532258
60.0,33.532258
84.0,33.532258
68.0,33.532258
36.0,33.532258
44.0,33.532258
76.0,33.532258
52.0,33.532258
100.0,33.532258
68.0,27.629032
36.0,27.629032
76.0,27.629032
52.0,27.629032
44.0,27.629032
60.0,27.629032
92.0,27.629032
100.0,27.629032
108.0,27.629032
84.0,27.629032
81.176471,21.725806
45.882353,21.725806
52.941176,21.725806
67.058824,21.725806
74.117647,21.725806
88.235294,21.725806
95.294118,21.725806
102.352941,21.725806
38.823529,21.725806
102.352941,15.822581
81.176471,15.822581
74.117647,15.822581
45.882353,15.822581
