Unplanned (%),Unplanned (Time)
100.0,12.125510971278553
100.0,11.048300991243622
100.0,13.63250729160256
100.0,11.612072964068206
100.0,10.03567597946559
100.0,11.18292440439515
100.0,14.012892146622107
100.0,11.6124402442344
100.0,9.972247428293102
100.0,10.536286545160763
100.0,8.215209628112675
100.0,7.951841780153124
100.0,9.029329331648391
100.0,10.106826479973924
100.0,7.770768858183611
100.0,7.6351436874404515
100.0,10.799830643524595
100.0,10.664359098082013
100.0,7.634818253574537
100.0,9.228251724567153
100.0,6.559349248663645
100.0,12.258848378902778
100.0,12.062741543555973
100.0,7.568037058197801
100.0,11.05235979200229
100.0,10.597205295262627
100.0,6.62448847199654
100.0,10.530216289373136
100.0,14.014027326876226
100.0,11.610776889308681
100.0,9.90585861318206
100.0,7.5009381007564
100.0,6.944190198609063
100.0,7.43384695742441
100.0,6.557099849302083
100.0,10.462975845629108
100.0,7.95613440372595
100.0,7.502656941545787
100.0,5.61574292288118
100.0,10.464361950287904
100.0,13.493428788772594
100.0,3.8479960269525577
100.0,13.42629677995751
100.0,16.238054078025904
100.0,3.861777361959005
100.0,4.118311210142373
100.0,7.150634120024236
100.0,2.9845783570434605
100.0,4.601275403375104
100.0,5.545657491003391
100.0,6.685624746321921
100.0,8.57131524856772
100.0,3.9857304480002433
100.0,4.928584716644467
100.0,5.871437560014746
100.0,1.8386075546792475
100.0,3.9197210009386225
100.0,3.179096600715335
100.0,10.461645880986737
100.0,5.871262542387002
100.0,7.756992712459515
100.0,5.274031228621505
100.0,4.862332391213935
100.0,5.805216336353611
100.0,2.0335813406656134
