Unplanned (%),Unplanned (Time),Planned (%),Planned (Time)
100.0,8.559986163536111,100.0,20.759340813353543
100.0,9.560642592199132,100.0,21.048787492446586
100.0,17.680912806544686,100.0,21.627730240998424
100.0,11.804143607404919,100.0,22.163468543455092
100.0,11.297541322870995,100.0,23.31973611366089
100.0,10.49589801015169,100.0,23.85326414074903
100.0,12.941108814676818,100.0,21.383434134676573
100.0,16.950079687155913,100.0,22.85301434800308
100.0,17.818463212865915,100.0,21.96203789884928
100.0,18.686869215099215,100.0,21.25010792777596
100.0,11.07331160972434,100.0,23.433651090074722
100.0,12.232597937920394,100.0,22.583368844042035
100.0,8.224459330776712,100.0,22.25007028138685
100.0,13.876176132837616,100.0,21.518096988697256
100.0,9.629357279142235,100.0,22.496456036233287
100.0,9.669508717145325,100.0,22.36342847160508
100.0,7.13284570024588,100.0,22.450851135913435
100.0,6.99885037217427,100.0,22.985679282950834
100.0,7.867139039849074,100.0,23.386620108779482
100.0,9.55776927071044,100.0,15.36871289708574
100.0,9.424197605147071,100.0,17.155334170750162
100.0,9.290562776663808,100.0,20.512102091474052
100.0,6.268329011185764,100.0,16.57089115727882
100.0,8.75417136919654,100.0,18.44057779925425
100.0,4.999604826843229,100.0,20.562836518852084
100.0,8.269721675405636,100.0,22.583735417929653
100.0,7.756060690266366,100.0,23.118065227336285
100.0,9.156878625573091,100.0,21.965305824161053
100.0,8.93936605157633,100.0,23.16659192320611
100.0,7.135809423730208,100.0,23.652702286389815
100.0,3.6111347066328126,100.0,20.76336512384506
100.0,6.6837946802612045,100.0,21.580936256655647
100.0,8.219968192196031,100.0,22.032471034633033
100.0,7.622478817104074,100.0,23.18665451175773
100.0,7.8688427056829395,100.0,23.053073360254004
100.0,7.355245647887731,100.0,21.296788824568992
100.0,8.622645199787824,100.0,23.76812711152369
100.0,8.489140226872257,100.0,23.633562945186306
100.0,8.351194213831667,100.0,21.43042902518905
100.0,11.29320675010286,100.0,22.316117129421308
100.0,10.076014748223935,100.0,22.249076323767838
100.0,5.065867555771018,100.0,21.514936571123542
100.0,19.892563314016783,100.0,21.96403055600119
100.0,8.624411289636921,100.0,22.499140182223623
100.0,16.038871960342973,100.0,23.36541718063014
100.0,6.552219196397453,100.0,22.049185756437616
100.0,9.624848489592026,100.0,23.119247364039712
100.0,9.491271217582025,100.0,23.566219908424678
100.0,4.932226593082385,100.0,22.248512623737753
100.0,4.212309768836794,100.0,22.64973595881816
100.0,10.491774449647291,100.0,22.11465972300226
100.0,14.235167660312316,100.0,23.432421714650935
100.0,11.94062011732264,100.0,24.05296693235676
100.0,7.554034347204676,100.0,21.581449743848808
100.0,21.112480586123414,100.0,22.56716652383691
100.0,10.224518180315023,100.0,22.43288660085132
100.0,10.091022708145347,100.0,19.91062874240911
100.0,7.286995270059908,100.0,16.437452343669676
100.0,9.957387196879989,100.0,17.237722105970985
100.0,9.691437269835612,100.0,17.15521858933801
100.0,7.617911588094884,100.0,18.641089974455973
100.0,8.352585663965382,100.0,19.962049580290174
100.0,7.348931582366529,100.0,14.619347664904351
100.0,6.413560871419838,100.0,15.888890622224318
100.0,4.472476981640764,100.0,15.700684010903275
100.0,9.209162403167673,100.0,19.494125589505046
100.0,5.480405872038982,100.0,19.577533322084886
100.0,6.470523494580034,100.0,20.16137563974183
100.0,5.211483400667407,100.0,16.489861840371933
100.0,4.276106226524491,100.0,17.090993506137604
100.0,7.001946011877512,100.0,16.702808040128495
100.0,2.0643442358171646,100.0,12.951432337295579
100.0,2.4656446185001735,100.0,12.616802944400357
100.0,8.74153193326118,100.0,20.512023801646446
100.0,6.014134335309282,100.0,18.974006310220627
100.0,6.280519615390127,100.0,17.103204038777395
100.0,5.345075951368866,100.0,16.3685341459597
100.0,6.079940649684768,100.0,14.831681927678623
100.0,3.4066852264171064,100.0,12.616732371057779
100.0,2.2650789663527893,100.0,13.160619365886157
100.0,2.204475379376435,100.0,13.285338397501134
100.0,5.144369133123588,100.0,12.225858500772233
