Unplanned (%),Unplanned (Time)
100.0,59.90209866310458
100.0,45.926224220468406
100.0,29.474531970071517
100.0,15.49474455118831
100.0,53.01722080757121
100.0,57.2997231145617
100.0,51.35555345871882
100.0,24.409534233567086
100.0,40.34760113199264
100.0,48.76161722797537
100.0,43.31899026458524
100.0,28.52883399834263
100.0,19.344553299941897
100.0,20.065026948633935
100.0,38.97143203541574
100.0,21.50396402269029
100.0,55.92398918852874
100.0,51.42091838310181
100.0,54.458526982184296
100.0,42.958603698525835
100.0,32.96366912936944
100.0,34.53852409146032
100.0,30.62160660223404
100.0,58.82730886898689
100.0,23.663974410406297
100.0,13.66904575110272
100.0,27.513391351969627
100.0,24.473596278343784
100.0,20.55206149810031
100.0,17.4498357469039
100.0,41.35475475053528
100.0,37.442701108986135
100.0,27.44741825633693
100.0,23.59705464484264
100.0,44.32985811483798
100.0,34.33474124406015
100.0,24.406351399494397
100.0,55.790101265101285
100.0,47.295515190202295
100.0,53.44803206021144
100.0,14.34545318865081
100.0,24.33974113150654
100.0,26.50054621329844
100.0,17.315342730325312
100.0,37.300488930920416
100.0,33.38351815274752
100.0,27.96644490075065
100.0,60.12696061507624
100.0,51.5548549887131
100.0,28.592201387121932
100.0,39.527987015284886
100.0,20.55495773966545
100.0,23.795920078791344
100.0,29.048897554639545
100.0,32.710625057917845
100.0,11.706488353667071
100.0,15.75380699477413
100.0,48.446831812692764
100.0,29.470219903109538
100.0,29.926041967685773
100.0,12.030847931561228
100.0,12.518094233098322
100.0,16.96067130785412
100.0,26.698755873106954
100.0,22.972266390370645
100.0,23.457472460636204
100.0,14.933702660986402
100.0,81.72419379267954
100.0,47.29439640605811
100.0,27.900689017513493
100.0,25.47980694130146
100.0,29.536664729138877
100.0,16.635914282917476
100.0,15.42044863801045
100.0,25.550572781577202
100.0,60.721112123391855
100.0,26.29599513926788
100.0,39.71803021484303
100.0,11.369666842576505
100.0,15.812315980261019
100.0,20.284224544745474
100.0,21.824145195831864
100.0,22.30935504109449
100.0,20.283511459353356
100.0,24.331728104203844
100.0,13.462162066736793
100.0,22.372135021327153
100.0,33.099744582427405
100.0,14.81192788454683
100.0,15.139398294066504
100.0,24.671999483716043
100.0,13.047020519264837
100.0,20.686326737711692
100.0,13.46128482018367
100.0,24.469070116016734
100.0,23.32126735699111
100.0,8.665113084754745
100.0,20.483488997805093
100.0,18.52526994843678
100.0,5.624836498655845
100.0,10.554925559632963
100.0,14.474540198096596
100.0,28.38596010118155
100.0,21.16021884623741
100.0,7.314409029322789
100.0,24.400381461899848
100.0,13.654884886165151
100.0,11.76500844463374
100.0,14.337022541841584
