Run_Num,Per_Weight,Time_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time [days],Cost,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,0,619,96,105,11,10,3,99.34472934472934,15.0,13.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,1,586,82,67,18,8,8,98.08167141500476,15.0,16.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,2,624,95,122,11,7,7,98.4188034188034,15.0,14.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,3,579,83,43,18,9,3,97.96771130104463,15.0,12.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,4,616,86,130,25,9,2,88.0721747388414,15.0,11.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,5,614,90,56,23,8,5,99.81006647673316,15.0,13.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,6,622,95,128,23,11,11,100.0,0.5932646455728756,22.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,7,605,98,55,12,8,6,96.8613485280152,15.0,14.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,8,608,87,45,14,9,2,98.75593542260208,15.0,11.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,9,576,92,113,11,6,4,99.76733143399808,15.0,10.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,10,616,84,51,8,5,1,77.33143399810066,15.0,6.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,11,612,80,137,21,8,8,97.75878442545111,15.0,16.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,12,578,84,110,28,4,2,93.8888888888889,15.0,6.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,13,598,87,95,4,11,9,99.8338081671415,15.0,20.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,14,592,83,61,19,3,3,97.77302943969612,15.0,6.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,15,589,85,31,0,4,4,86.68566001899333,15.0,8.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,16,628,91,131,25,7,7,99.95726495726497,15.0,14.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,17,621,96,102,1,11,8,100.0,0.8641293085636745,19.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,18,583,82,79,17,10,6,98.2051282051282,15.0,16.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,19,617,98,93,27,9,6,99.667616334283,15.0,15.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,20,578,94,50,4,6,2,96.42450142450141,15.0,8.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,21,618,98,78,9,3,3,97.66856600189932,15.0,6.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,22,584,88,62,19,8,6,99.67236467236468,15.0,14.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,23,603,90,75,21,4,2,98.54226020892688,15.0,6.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,24,576,83,47,8,3,2,97.4264007597341,15.0,5.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,25,623,95,106,24,9,2,95.01899335232667,15.0,11.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,26,610,90,32,28,5,5,99.77207977207976,15.0,10.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,27,583,88,101,9,6,6,99.16429249762582,15.0,12.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,28,597,91,139,13,9,9,99.99050332383665,15.0,18.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,29,619,96,110,15,6,6,99.86229819563152,15.0,12.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,30,583,85,84,14,5,5,98.99810066476732,15.0,10.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,31,595,85,142,15,5,4,98.79392212725546,15.0,9.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,32,610,88,30,10,7,7,99.13105413105411,15.0,14.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,33,607,99,128,23,10,10,99.82905982905983,15.0,20.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,34,588,88,84,8,10,5,94.31149097815764,15.0,15.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,35,621,89,117,29,9,4,99.59164292497627,15.0,13.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,36,600,91,103,12,10,7,99.985754985755,15.0,17.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,37,596,90,39,21,9,3,96.343779677113,15.0,12.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,38,626,94,53,27,10,10,100.0,0.5520851085410864,20.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,39,576,83,44,12,4,1,93.02943969610637,15.0,5.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,40,581,89,78,3,5,2,98.3903133903134,15.0,7.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,41,612,88,77,13,9,9,99.80531813865147,15.0,18.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,42,603,95,36,26,5,4,99.5346628679962,15.0,9.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,43,615,90,106,3,8,3,99.52516619183285,15.0,11.0,
0,0.5,-0.3871428571428572,-0.11285714285714277,0,44,611,99,94,5,5,5,99.77207977207979,15.0,10.0,
