Run_Num,Per_Weight,Time_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time [days],Cost,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,0,579,91,82,13,5,5,98.92687559354226,15.0,10.000000000000002,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,1,592,90,31,24,10,8,99.6866096866097,15.0,18.000000000000004,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,2,624,96,124,14,6,6,100.0,0.7036505265082414,12.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,3,608,90,142,17,6,6,99.83855650522318,15.0,12.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,4,621,94,86,28,10,1,94.96201329534664,15.0,11.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,5,611,99,35,8,8,1,92.2934472934473,15.0,9.000000000000002,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,6,593,83,145,16,6,6,97.89648622981957,15.0,12.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,7,619,85,115,19,3,3,96.53846153846153,15.0,6.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,8,617,96,68,23,8,2,91.91358024691357,15.0,10.000000000000002,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,9,585,89,145,5,5,5,96.98480531813865,15.0,10.000000000000002,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,10,626,90,100,16,10,7,99.72934472934473,15.0,17.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,11,619,81,76,0,6,4,92.29344729344729,15.0,10.000000000000002,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,12,583,98,73,29,4,4,99.81006647673316,15.0,7.999999999999998,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,13,616,99,48,21,9,6,99.54415954415956,15.0,15.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,14,591,88,146,26,8,4,99.46343779677113,15.0,12.0,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,15,616,99,39,0,4,4,79.57739791073125,15.0,7.999999999999998,
0,0.5,-0.11285714285714286,-0.3871428571428571,0,16,608,92,49,18,8,2,98.91263057929726,15.0,10.000000000000002,
