Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost,
1,48,627,90,102,10,10,6,100.0,0.8743679999999999,4.0,
1,49,627,90,84,13,10,6,1.0,1.13616,4.0,
2,0,579,92,50,10,12,7,100.0,0.8259839999999999,5.0,
2,1,581,90,81,17,9,7,0.33,0.6229439999999999,2.0,
2,2,581,92,50,17,9,7,100.0,0.768096,2.0,
2,3,609,90,81,19,5,2,0.33,2.409696,3.0,
2,4,596,92,50,17,12,7,100.0,0.675648,5.0,
2,5,581,90,81,19,9,8,100.0,0.582336,1.0,
2,6,581,92,50,17,9,7,100.0,0.768096,2.0,
2,7,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,8,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,9,596,90,81,19,12,8,100.0,0.597888,4.0,
2,10,581,90,81,17,9,8,0.33,0.546048,1.0,
2,11,596,92,50,4,6,4,0.33,1.24416,2.0,
2,12,627,93,43,10,11,3,0.33,1.492128,8.0,
2,13,627,90,75,8,11,8,0.33,0.947808,3.0,
2,14,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,15,627,90,49,6,11,5,100.0,1.73664,6.0,
2,16,596,90,81,19,12,8,100.0,0.597888,4.0,
2,17,596,90,81,19,12,8,100.0,0.597888,4.0,
2,18,577,93,81,18,10,8,100.0,0.687744,2.0,
2,19,586,95,50,2,6,7,100.0,1.1240640000000002,1199.0,
2,20,581,87,68,17,4,10,0.33,1.2856319999999999,7194.0,
2,21,627,90,50,10,11,8,100.0,0.660096,3.0,
2,22,596,88,81,17,12,9,0.33,0.597888,3.0,
2,23,581,90,50,19,9,8,100.0,0.590112,1.0,
2,24,610,88,37,17,9,8,100.0,0.667872,1.0,
2,25,581,90,82,10,7,11,0.33,1.0065600000000001,4796.0,
2,26,596,90,81,19,12,8,100.0,0.597888,4.0,
2,27,596,90,81,19,12,8,100.0,0.597888,4.0,
2,28,581,92,101,21,12,7,0.33,0.731808,5.0,
2,29,581,92,50,17,9,7,100.0,0.768096,2.0,
2,30,581,90,50,17,9,7,0.33,0.6791039999999999,2.0,
2,31,576,92,37,21,8,8,100.0,0.634176,0.0,
2,32,596,90,94,3,5,7,0.33,1.575072,2398.0,
2,33,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,34,596,90,81,19,12,8,100.0,0.597888,4.0,
2,35,627,88,37,21,11,8,0.33,0.559008,3.0,
2,36,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,37,627,88,126,29,11,8,100.0,0.7776000000000001,3.0,
2,38,581,92,50,17,9,7,100.0,0.768096,2.0,
2,39,589,89,148,24,4,5,0.32,4.7304,1199.0,
2,40,613,90,149,4,11,2,0.33,2.77344,9.0,
2,41,596,90,81,19,12,8,100.0,0.597888,4.0,
2,42,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,43,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,44,599,95,81,27,12,8,100.0,0.614304,4.0,
2,45,627,90,37,10,11,8,100.0,0.6963840000000001,3.0,
2,46,596,90,50,19,9,7,100.0,0.748224,2.0,
2,47,621,90,100,16,4,8,0.33,1.310688,4796.0,
2,48,596,90,81,19,12,8,100.0,0.597888,4.0,
2,49,628,91,109,10,11,8,0.33,0.74304,3.0,
3,0,596,90,81,19,12,8,100.0,0.597888,4.0,
3,1,591,91,36,19,6,9,100.0,0.965088,3597.0,
3,2,581,90,35,19,9,8,100.0,0.61344,1.0,
3,3,581,93,50,19,9,12,100.0,0.563328,3597.0,
3,4,596,90,81,19,12,8,100.0,0.597888,4.0,
3,5,581,90,81,19,9,8,100.0,0.582336,1.0,
3,6,581,90,50,19,9,8,100.0,0.590112,1.0,
3,7,581,90,50,19,9,8,100.0,0.590112,1.0,
3,8,581,90,81,19,9,8,100.0,0.582336,1.0,
3,9,597,93,104,2,12,5,100.0,0.973728,7.0,
3,10,581,90,81,19,9,8,100.0,0.582336,1.0,
3,11,581,90,50,19,9,8,100.0,0.590112,1.0,
3,12,581,90,81,19,9,8,100.0,0.582336,1.0,
3,13,581,90,81,19,9,8,100.0,0.582336,1.0,
3,14,592,90,142,19,11,8,100.0,0.614304,3.0,
3,15,596,90,42,20,6,8,0.2,0.857088,2398.0,
3,16,581,90,50,19,9,8,100.0,0.590112,1.0,
3,17,581,90,81,19,9,8,100.0,0.582336,1.0,
3,18,581,90,81,19,9,8,100.0,0.582336,1.0,
3,19,596,90,81,19,12,8,100.0,0.597888,4.0,
3,20,581,90,81,19,9,8,100.0,0.582336,1.0,
3,21,581,89,50,19,9,8,0.2,0.647136,1.0,
3,22,587,91,138,2,9,8,100.0,0.673056,1.0,
3,23,581,94,50,19,12,8,100.0,0.595296,4.0,
3,24,581,90,81,19,9,8,100.0,0.582336,1.0,
3,25,588,90,81,3,12,8,100.0,0.711072,4.0,
3,26,613,90,50,19,9,8,100.0,0.6652800000000001,1.0,
3,27,581,90,64,19,9,8,100.0,0.542592,1.0,
3,28,581,90,81,19,9,8,100.0,0.582336,1.0,
3,29,581,88,95,19,12,8,0.2,0.6626879999999999,4.0,
3,30,611,90,81,19,12,8,100.0,0.5676479999999999,4.0,
3,31,581,90,50,19,9,8,100.0,0.590112,1.0,
3,32,612,92,101,29,9,8,100.0,0.96336,1.0,
3,33,581,90,81,19,9,8,100.0,0.582336,1.0,
3,34,581,90,50,19,9,6,0.2,0.806112,3.0,
3,35,617,90,148,13,11,2,0.19,3.7506239999999997,9.0,
3,36,596,90,81,19,12,8,100.0,0.597888,4.0,
3,37,596,90,81,19,12,8,100.0,0.597888,4.0,
3,38,581,90,81,19,9,8,100.0,0.582336,1.0,
3,39,581,90,81,19,9,8,100.0,0.582336,1.0,
3,40,581,90,50,19,9,8,100.0,0.590112,1.0,
3,41,581,90,50,19,9,8,100.0,0.590112,1.0,
3,42,581,90,81,19,9,8,100.0,0.582336,1.0,
3,43,581,90,50,19,9,8,100.0,0.590112,1.0,
3,44,581,90,81,19,9,8,100.0,0.582336,1.0,
3,45,581,90,81,19,9,8,100.0,0.582336,1.0,
3,46,596,90,81,19,12,8,100.0,0.597888,4.0,
3,47,581,90,81,19,9,8,100.0,0.582336,1.0,
3,48,581,90,81,19,5,8,0.2,0.919296,3597.0,
3,49,622,90,81,19,7,11,0.2,1.670976,4796.0,
4,0,581,93,50,19,9,12,100.0,0.563328,3597.0,
4,1,624,93,81,19,9,7,0.13999999999999999,1.6130879999999999,2.0,
4,2,612,95,81,8,9,8,100.0,0.9132480000000001,1.0,
4,3,581,90,64,19,9,8,100.0,0.542592,1.0,
4,4,611,90,81,19,12,8,100.0,0.5676479999999999,4.0,
4,5,581,94,102,19,9,8,100.0,0.590976,1.0,
4,6,578,90,140,5,9,1,0.13,5.635008,8.0,
4,7,581,90,64,19,9,8,100.0,0.542592,1.0,
4,8,581,92,51,21,10,8,0.13999999999999999,0.7896960000000001,2.0,
4,9,581,90,64,19,9,8,100.0,0.542592,1.0,
4,10,581,93,64,19,9,8,100.0,0.6073919999999999,1.0,
4,11,581,90,50,19,9,12,100.0,0.527904,3597.0,
4,12,611,90,142,5,9,2,0.13999999999999999,3.02832,7.0,
4,13,592,90,87,15,12,8,100.0,1.20096,4.0,
4,14,581,90,76,19,9,8,100.0,0.611712,1.0,
4,15,611,94,81,19,7,8,100.0,0.6963840000000001,1199.0,
4,16,581,87,50,15,9,12,0.13999999999999999,0.60048,3597.0,
4,17,604,90,64,19,6,8,0.13999999999999999,0.785376,2398.0,
4,18,581,90,64,19,9,8,100.0,0.542592,1.0,
4,19,611,90,81,19,12,8,100.0,0.5676479999999999,4.0,
4,20,581,93,50,19,9,12,100.0,0.563328,3597.0,
4,21,611,90,81,19,11,3,0.13999999999999999,1.7280000000000002,8.0,
4,22,581,90,81,19,9,8,100.0,0.582336,1.0,
4,23,581,90,81,19,9,8,100.0,0.582336,1.0,
4,24,581,90,91,19,5,1,0.13999999999999999,4.86432,4.0,
4,25,581,90,81,19,9,8,100.0,0.582336,1.0,
4,26,581,90,64,19,9,8,100.0,0.542592,1.0,
4,27,581,90,64,19,9,8,100.0,0.542592,1.0,
4,28,611,90,81,19,9,8,100.0,0.584928,1.0,
4,29,581,90,64,19,12,8,100.0,0.517536,4.0,
4,30,581,90,81,19,9,8,100.0,0.582336,1.0,
4,31,611,90,64,19,12,8,100.0,0.563328,4.0,
4,32,581,93,50,19,9,12,100.0,0.563328,3597.0,
4,33,579,91,81,19,4,1,0.13999999999999999,4.629312,3.0,
4,34,611,90,81,19,12,8,100.0,0.5676479999999999,4.0,
4,35,593,94,64,1,12,8,0.13999999999999999,1.5318720000000001,4.0,
4,36,597,94,81,25,3,8,0.13999999999999999,2.3794560000000002,5995.0,
4,37,611,90,81,19,9,8,100.0,0.584928,1.0,
4,38,581,90,64,19,9,8,100.0,0.542592,1.0,
4,39,581,90,81,19,9,8,100.0,0.582336,1.0,
4,40,578,90,81,0,12,11,0.13,5.4613439999999995,1.0,
4,41,581,93,50,19,9,12,100.0,0.563328,3597.0,
4,42,616,89,111,19,3,3,0.13999999999999999,3.885408,0.0,
4,43,594,95,50,15,5,8,0.13999999999999999,1.8273599999999999,3597.0,
4,44,581,91,114,12,9,12,100.0,1.613952,3597.0,
4,45,618,88,50,19,11,11,100.0,0.425088,0.0,
4,46,621,93,50,17,9,6,100.0,0.867456,3.0,
4,47,581,93,50,19,9,12,100.0,0.563328,3597.0,
4,48,581,90,64,19,9,8,100.0,0.542592,1.0,
4,49,581,90,81,19,9,8,100.0,0.582336,1.0,
5,0,581,90,140,19,12,8,100.0,0.5624640000000001,4.0,
5,1,601,91,64,19,6,11,100.0,0.767232,5995.0,
5,2,581,90,64,19,9,8,100.0,0.542592,1.0,
5,3,581,90,64,19,12,8,100.0,0.517536,4.0,
5,4,618,90,68,2,12,8,100.0,0.629856,4.0,
5,5,581,88,64,19,11,11,100.0,0.44495999999999997,0.0,
5,6,585,90,65,28,10,8,100.0,0.6462720000000001,2.0,
5,7,581,91,108,1,12,9,100.0,1.2139199999999999,3.0,
5,8,581,90,64,19,12,8,100.0,0.517536,4.0,
5,9,581,90,64,19,9,8,100.0,0.542592,1.0,
5,10,618,88,50,19,9,11,100.0,0.538272,2398.0,
5,11,581,90,136,19,4,7,0.11,1.229472,3597.0,
5,12,581,90,64,19,12,8,100.0,0.517536,4.0,
5,13,581,90,64,19,12,8,100.0,0.517536,4.0,
5,14,581,88,50,19,11,8,0.11,0.677376,3.0,
5,15,618,90,64,19,9,11,100.0,0.624672,2398.0,
5,16,575,88,127,13,12,4,0.11,2.2464,8.0,
5,17,618,88,64,16,6,8,100.0,1.052352,2398.0,
5,18,599,90,116,15,9,11,100.0,0.813888,2398.0,
5,19,618,88,50,19,11,8,100.0,0.7292160000000001,3.0,
5,20,618,88,73,19,5,12,0.11,1.768608,8393.0,
5,21,581,90,50,19,9,11,100.0,0.527904,2398.0,
5,22,618,88,50,19,11,11,100.0,0.425088,0.0,
5,23,581,90,64,19,12,8,100.0,0.517536,4.0,
5,24,594,88,50,1,9,11,100.0,1.480032,2398.0,
5,25,581,90,64,19,9,8,100.0,0.542592,1.0,
5,26,581,90,64,19,9,8,100.0,0.542592,1.0,
5,27,581,90,64,19,12,8,100.0,0.517536,4.0,
5,28,581,90,64,19,9,8,100.0,0.542592,1.0,
5,29,581,90,64,12,6,12,100.0,1.750464,7194.0,
5,30,581,90,64,19,9,8,100.0,0.542592,1.0,
5,31,581,90,98,19,12,3,0.11,1.511136,9.0,
5,32,618,88,50,19,11,11,100.0,0.425088,0.0,
5,33,581,90,64,19,9,8,100.0,0.542592,1.0,
5,34,621,90,50,19,11,11,100.0,0.860544,0.0,
5,35,618,88,50,19,11,11,100.0,0.425088,0.0,
5,36,584,91,64,19,5,2,0.11,2.7051839999999996,3.0,
5,37,581,90,50,19,9,8,100.0,0.590112,1.0,
5,38,581,90,64,19,9,8,100.0,0.542592,1.0,
5,39,581,90,50,19,12,12,100.0,0.41040000000000004,0.0,
5,40,616,88,50,30,8,6,100.0,0.850176,2.0,
5,41,622,90,137,19,9,9,0.11,1.256256,0.0,
5,42,623,90,130,10,12,3,0.11,1.609632,9.0,
5,43,581,90,64,19,9,8,100.0,0.542592,1.0,
5,44,581,90,64,19,9,8,100.0,0.542592,1.0,
5,45,618,88,50,19,11,11,100.0,0.425088,0.0,
5,46,618,88,50,19,11,11,100.0,0.425088,0.0,
5,47,581,89,99,19,12,11,100.0,0.45273599999999997,1.0,
5,48,581,90,50,19,9,12,100.0,0.527904,3597.0,
5,49,581,90,50,19,9,12,100.0,0.527904,3597.0,
6,0,581,90,69,19,12,12,100.0,0.424224,0.0,
6,1,629,89,50,14,11,11,100.0,0.48643200000000003,0.0,
6,2,618,91,46,19,5,12,0.09,1.9422720000000002,8393.0,
6,3,618,88,50,19,11,11,100.0,0.425088,0.0,
6,4,618,88,50,19,11,11,100.0,0.425088,0.0,
6,5,619,88,50,19,11,8,100.0,0.737856,3.0,
6,6,618,88,50,3,11,11,100.0,0.5158079999999999,0.0,
6,7,630,88,147,29,7,10,0.09,0.871776,3597.0,
