Per_Weight,Cost_Weight,Gen,Pop,Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Cost,
0.01,-0.99,2,20,626,94,40,27,10,9,99.8559670781893,19.0,
0.01,-0.99,2,21,613,94,147,8,6,6,99.67078189300412,12.0,
0.01,-0.99,2,22,628,92,56,30,10,4,95.53497942386832,14.0,
0.01,-0.99,2,23,576,94,56,23,10,9,99.8971193415638,19.0,
0.01,-0.99,2,24,626,91,56,8,8,8,99.8559670781893,16.0,
0.01,-0.99,3,0,588,92,66,7,9,8,99.8559670781893,17.0,
0.01,-0.99,3,1,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,3,2,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,3,602,95,144,5,6,6,99.77366255144032,12.0,
0.01,-0.99,3,4,626,94,56,4,10,9,99.95884773662553,19.0,
0.01,-0.99,3,5,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,6,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,7,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,8,598,92,127,27,9,9,99.79423868312757,17.999999999999996,
0.01,-0.99,3,9,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,10,603,94,83,23,4,4,98.31275720164608,8.0,
0.01,-0.99,3,11,598,87,112,26,3,3,94.71193415637859,6.0,
0.01,-0.99,3,12,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,13,626,94,56,4,10,9,99.95884773662553,19.0,
0.01,-0.99,3,14,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,15,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,16,621,95,46,15,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,3,17,598,93,44,7,12,3,88.62139917695472,15.0,
0.01,-0.99,3,18,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,19,598,95,58,23,10,9,99.87654320987654,19.0,
0.01,-0.99,3,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,3,21,598,94,56,4,10,9,99.8559670781893,19.0,
0.01,-0.99,3,22,598,89,127,28,12,9,99.77366255144032,21.0,
0.01,-0.99,3,23,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,3,24,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,4,0,625,93,147,14,10,9,99.8971193415638,19.0,
0.01,-0.99,4,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,2,626,94,96,4,4,4,98.9917695473251,8.0,
0.01,-0.99,4,3,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,4,4,598,94,147,4,9,9,99.97942386831276,17.999999999999996,
0.01,-0.99,4,5,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,4,6,598,94,147,4,9,9,99.97942386831276,17.999999999999996,
0.01,-0.99,4,7,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,4,8,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,9,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,4,10,614,87,130,9,10,7,99.67078189300412,17.0,
0.01,-0.99,4,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,13,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,4,14,626,94,56,4,9,9,99.95884773662553,17.999999999999996,
0.01,-0.99,4,15,610,93,49,23,8,7,99.73251028806584,15.0,
0.01,-0.99,4,16,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,17,630,94,37,8,10,10,99.95884773662553,20.0,
0.01,-0.99,4,18,600,88,147,4,11,7,99.46502057613169,17.999999999999996,
0.01,-0.99,4,19,626,87,120,12,9,9,99.65020576131687,17.999999999999996,
0.01,-0.99,4,20,627,88,82,0,10,2,87.36625514403292,12.0,
0.01,-0.99,4,21,598,94,147,4,10,9,99.97942386831276,19.0,
0.01,-0.99,4,22,592,95,41,2,10,3,99.03292181069958,13.0,
0.01,-0.99,4,23,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,4,24,620,94,46,2,6,2,96.91358024691357,8.0,
0.01,-0.99,5,0,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,2,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,3,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,4,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,5,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,6,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,7,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,8,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,9,597,88,89,30,3,3,98.37448559670781,6.0,
0.01,-0.99,5,10,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,11,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,12,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,13,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,14,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,15,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,16,609,87,106,19,9,9,99.69135802469134,17.999999999999996,
0.01,-0.99,5,17,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,18,626,95,60,20,9,9,99.81481481481481,17.999999999999996,
0.01,-0.99,5,19,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,20,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,21,610,91,117,11,7,1,87.61316872427983,8.0,
0.01,-0.99,5,22,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,5,23,626,94,147,4,10,9,100.0,19.0,
0.01,-0.99,5,24,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,0,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,1,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,2,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,3,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,4,626,94,147,4,9,9,100.0,17.999999999999996,
0.01,-0.99,6,5,626,89,39,27,9,9,99.8559670781893,17.999999999999996,
0.01,-0.99,6,6,623,91,55,4,5,2,97.18106995884774,7.0,
0.01,-0.99,6,7,626,94,147,4,9,9,100.0,17.999999999999996,
