Alt,Inc,Initial_Raan,Delta_Raan,Num_Sats,Num_Planes,Avg_Percentage,Avg_Time,Cost
596,97,138,4,10,5,100,13.6832577,195748944.7
594,86,137,12,5,4,0,30,182416476.9
589,88,77,15,12,5,0,30,196281931.8
627,99,48,22,10,10,0,30,255748944.7
587,99,36,27,7,6,0,30,206949464
625,94,90,24,9,6,100,14.61570156,207482451.1
626,83,150,17,11,10,0,30,256015438.3
598,91,117,30,8,8,100,16.6067746,231215957.6
581,99,58,29,4,4,0,30,182149983.3
599,89,141,14,5,5,0,30,194416476.9
617,93,39,15,5,5,0,30,194416476.9
623,88,84,14,3,3,0,30,169883489.7
578,85,86,8,11,11,0,30,268015438.3
622,95,104,23,9,9,100,13.77829144,243482451.1
606,80,87,24,6,6,0,30,206682970.4
588,87,107,15,3,3,0,30,169883489.7
611,91,123,16,9,9,0,30,243482451.1
611,88,67,13,3,3,0,30,169883489.7
629,96,129,10,4,4,0,30,182149983.3
609,84,88,22,4,4,0,30,182149983.3
606,95,77,3,7,7,0,30,218949464
598,82,101,17,5,5,0,30,194416476.9
604,85,147,19,7,7,0,30,218949464
602,86,55,0,8,3,0,30,171215957.6
607,89,133,27,10,9,100,13.43398198,243748944.7
595,93,75,1,4,4,0,30,182149983.3
596,98,30,2,9,7,0,30,219482451.1
614,91,93,12,10,3,0,30,171748944.7
612,84,31,13,5,5,0,30,194416476.9
592,89,128,13,3,3,0,30,169883489.7
598,86,126,4,7,7,0,30,218949464
575,82,51,8,4,4,0,30,182149983.3
576,84,45,3,5,4,0,30,182416476.9
623,88,107,14,3,3,0,30,169883489.7
608,90,84,8,3,3,0,30,169883489.7
611,89,128,13,3,3,0,30,169883489.7
599,88,67,13,11,3,0,30,172015438.3
590,89,150,12,11,11,100,13.40258951,268015438.3
612,87,75,29,8,8,0,30,231215957.6
609,93,88,1,4,4,0,30,182149983.3
576,82,51,3,4,4,0,30,182149983.3
575,84,45,8,5,4,0,30,182416476.9
617,89,39,15,5,5,0,30,194416476.9
599,93,141,14,5,5,0,30,194416476.9
612,84,31,17,5,5,0,30,194416476.9
