Per,Apo,Inc,AoP,Asc,Loc,Tar
591,591,91.63731287956004,57.246955401673674,0,0,1
591,591,91.63731287956004,57.246955401673674,0,40.0,1
591,591,91.63731287956004,57.246955401673674,0,80.0,1
591,591,91.63731287956004,57.246955401673674,0,120.0,1
591,591,91.63731287956004,57.246955401673674,0,160.0,1
591,591,91.63731287956004,57.246955401673674,0,200.0,1
591,591,91.63731287956004,57.246955401673674,0,240.0,1
591,591,91.63731287956004,57.246955401673674,0,280.0,1
591,591,91.63731287956004,57.246955401673674,0,320.0,1
591,591,91.63731287956004,57.246955401673674,0,360.0,1
