Per,Apo,Inc,AoP,Asc,Loc,Tar
628.6677618549961,628.6677618549961,130,32,0,0,1
628.6677618549961,628.6677618549961,130,32,0,90.0,1
628.6677618549961,628.6677618549961,130,32,0,180.0,1
628.6677618549961,628.6677618549961,130,32,0,270.0,1
628.6677618549961,628.6677618549961,130,32,0,360.0,1
628.6677618549961,628.6677618549961,130,32,180.0,0,1
628.6677618549961,628.6677618549961,130,32,180.0,90.0,1
628.6677618549961,628.6677618549961,130,32,180.0,180.0,1
628.6677618549961,628.6677618549961,130,32,180.0,270.0,1
628.6677618549961,628.6677618549961,130,32,180.0,360.0,1
