Per,Apo,Inc,AoP,Asc,Loc,Tar
800,800,75,0,45,0,True
800,800,75,0,60,0,True
800,800,75,0,75,0,True
800,800,75,45,45,0,True
800,800,75,45,60,0,True
800,800,75,45,75,0,True
800,800,75,60,45,0,True
800,800,75,60,60,0,True
800,800,75,60,75,0,True
800,800,75,75,45,0,True
800,800,75,75,60,0,True
800,800,75,75,75,0,True
