Unplanned (%),Unplanned (Time),Planned (%),Planned (Time)
100.0,17.325738758075694,100.0,18.128705770253713
100.0,23.6361488904669,100.0,23.6361488904669
100.0,11.238535232365694,100.0,17.613863889816585
100.0,12.663134780218472,100.0,20.93708455707191
100.0,21.070369955076735,100.0,21.070369955076735
100.0,37.98803694570757,100.0,37.98803694570757
100.0,35.46822124253285,100.0,35.46822124253285
100.0,44.36596918247641,100.0,44.36596918247641
100.0,40.48529558548381,100.0,40.48529558548381
100.0,30.898270718170615,100.0,30.898270718170615
100.0,17.480217004166075,100.0,19.128618261668194
100.0,11.528806877838646,100.0,23.56557522579905
100.0,23.878508393950778,100.0,23.878508393950778
100.0,38.12389455548625,100.0,38.12389455548625
100.0,11.794340822415103,100.0,18.194966001575935
100.0,8.228934590558136,100.0,20.134195495176886
100.0,5.706287216973761,100.0,16.538982032451354
100.0,41.001286472519666,100.0,41.001286472519666
100.0,8.104166639787119,100.0,15.737314217254596
100.0,8.104027286287199,100.0,15.99289851131442
100.0,22.209101007173057,100.0,22.209101007173057
100.0,10.975022648866307,100.0,19.99824683912683
100.0,12.914278331011632,100.0,19.063705693784687
100.0,42.940484330030266,100.0,42.940484330030266
100.0,7.708672940839409,100.0,17.543980016054423
100.0,9.647898669389722,100.0,17.99523526161676
100.0,9.04009929420308,100.0,14.988603246589687
100.0,9.516306769484016,100.0,14.120286967163842
100.0,10.519283667324942,100.0,14.599484884207987
100.0,14.853489611110948,100.0,17.125746427559548
100.0,13.852430623963343,100.0,16.472095236625254
100.0,8.839649520602824,100.0,15.535548413075265
100.0,7.769661272256805,100.0,14.052716813595614
100.0,8.31282578097838,100.0,11.4562422814339
